Company,reviews,location,StarRating,Title,Date,UUID,Summary,Sentiment,Sentiment_Score
Three,5,GB,1,Wish I could give zero stars,23-Apr-24,4b4e92c2-7252-45bb-8aaf-11b8e734d4c1,"Wish I could give zero stars. I've been with 3 for around 15years, they used to be a great company until lockdown hit, and since then I have received the worst service and coverage! The have misold contracts and devices! Advising free add ons, headphones and plug with phones which have never arrive and when raised with customer service or complaints they play dumb and keep you on for hours just repeating yourself, while they clearly do not understand English so you continue to get no where. Shocking customer service. Breach of every regulation! FCA , TRADING STANDARD AND OFFCOM NEED TO SHUT THIS FIRM DOWN!! # Wish I could give zero stars",Negative,-0.158055556
Three,2,GB,1,If it’s possible to give zero stars I…,22-Apr-24,c7a804c1-f8ba-4717-86a7-7c0248247717,"If it’s possible to give zero stars I would. Absolutely awful company service is abysmal on line enquiry’s just about non existent. After three months they still haven’t sorted my issues out , still waiting to receive return envelope to return my useless broadband hub , another message  today saying contact has ended but still owe money . Can’t contact anyone to tell me what’s going on . Each message I get from now on will result in very negative on this company from me on as many site’s as I can find until they sort it out !! :( # If it’s possible to give zero stars I…",Negative,-0.231666667
Three,4,GB,1,Slowest network ever!!,21-Apr-24,a0c01c16-1d9b-4739-87bb-5f126b10caaf,"Three should stop false advertising!!! You are not the fastest network in the UK !!! It’s misleading and not true !!! I have been paying over £120 every month since last 2years, even after reporting multiple times nothing has been fixed , no compensation , no apology offered !! Breached contract!! If you can’t provide service then refund my money, don’t advise me to raise complaint because I have and you guys failed to offer fair resolution!! # Slowest network ever!!",Negative,-0.071875
Three,1,GB,1,three worst provider,19-Apr-24,8e49da40-9774-4d5d-8877-6f4c27cdac70,"three worst provider , signal not all strong in the southwest , when signed into contract annual rise be 3.1% but yet and be-hold had a 7.9% increase ,their excuse is due to high running costs and staff . sorry just extra bonus for share holders .never use 3 they rip you off # three worst provider",Negative,-0.260208333
Three,1,GB,1,Awful,23-Apr-24,51819944-d06a-46ae-8ecc-483d1889aee5,"Absolutely, shockingly awful. I purchased a sim only contract from them, it didn't work and they wanted to charge me £86 to leave! Was left without a phone for a week and they offered a paltry £5 in compensation. Their support staff are utterly incompetent. Please avoid. # Awful",Negative,-0.47
Three,6,GB,1,Be Aware of Contract Mis-selling,22-Apr-24,6d055546-bde4-4ac5-8f99-e0754698cc2e,Another terrible for Three....I have been a customer of theirs for years  - despite the nightmares of dealing with their customer service which will have you weeping on long holds - but finally gave up after they signed me into a new contract despite asking repeatedly to be kept on a non contract tariff. Be very careful of mis-selling from the retention team! When you discover what they have done try and complain to resolve it they hide behind t&cs and refer you to chase them through the Ombudsman. You have a choice- use any other service provider instead. # Be Aware of Contract Mis-selling,Negative,-0.164829545
Three,8,GB,1,Broken promise,23-Apr-24,8b19d884-2358-47bf-b9a7-622bf04b3a9c,A company whose promise appears like vapour  and then disappear without trace 2nd time I have to go to the Ombudsman about this lot expensive .customer service a NIGHTMARE I can get more sense out of next doors CAT # Broken promise,Negative,-0.1
Three,4,GB,2,I had to buy a second contract.,23-Apr-24,2baa6176-7a56-4f05-8ae1-1b5c856591ee,"I had to buy a second contract so I could be sure of coverage. Every time I have complained I'm told about maintenance work, if this is to be believed this has been going on for the last three years. The network has been down five times during my contract and no automatic reduction in bill, first time it was down for two days I spent three hours on the phone and they reduced my bill by £5. Data coverage across the UK is patchy, and often says it has connection but it is unusable. Brand new high spec phone a city (that three claims it has 90% coverage with 5G) can't use data reliably. The shops also cannot help with anything other then selling you new contracts or pay as you go Sims which is frustrating and seems like a waste of retail space. The roaming is quite good, it's bizarre they i had better connection and service in the US then I did back home. # I had to buy a second contract.",Positive,0.070874535
Three,43,GB,1,Poor service any way you look at it,24-Apr-24,924c0417-4ad3-41ce-9580-5761e449c87e,"After putting up with poor signal and service for several years contacted company when all of our 3 mobile signals went down at home!I was told by the operator that signal in our area is down and won’t improve for a while. Only option she gives me is to leave early with no penalty for all our 3 mobiles, providing me with 3 x PAC numbers and on your way!!Today I received a text asking for £47.72 charges on one of the lines. Since payments date on each number was different, they will send me a same text 2 more times soon!!You can’t rely on this guys and trust a world comes out of their mouth. If you let a loyal customer down, what would they do to a new customer?Avoid at all costs. # Poor service any way you look at it",Negative,-0.015151515
Three,4,GB,1,Extremely disappointed,23-Jan-24,c3417582-a73e-429c-a6ed-7ffa43cc0aa0,"I've been using Three for around 12 years and the one time I had an issue, they've been an absolutely nightmare. I got charged twice for an add-on.I spoke with customer service, and they asked me to send my bank statement by email, as they couldn't resolve the issue themselves.Then the email address wasn't the right one and I had to send various emails until I got a response. And the last email asked me to get back to customer service and they would resolve it.This was an incredible waste of time just for £15, and at the end I gave up. I really thought that a company like Three would be able to send me back my £15 and offer a much smoother process. They obviously can't and I am really disappointed with them. # Extremely disappointed",Positive,0.041836735
